@relation git_repo_quality

@attribute avg_complexity real
@attribute has_tests {false, true}
@attribute sloc real
@attribute has_readme {false, true}
@attribute is_building {false, true}
@attribute coverage numeric
@attribute expertise {1,2,3,4,5}

@data
4.55,true,45090,true,true,-1.0,5
4.66,false,6352,true,true,-1.0,4
3.8,true,3665,true,false,-1.0,3
2.0,false,65,true,true,-1.0,2
4.55,false,2709,true,true,-1.0,4
2.1,false,37517,false,true,-1.0,3
4.67,false,842,true,true,-1.0,4
2.68,true,858,true,true,47.0,4
3.33,false,1602,true,false,-1.0,3
3.85,true,743,true,true,80.0,5
2.0,false,38,true,true,-1.0,2
5.5,false,84,true,true,-1.0,2
2.0,false,276,false,true,-1.0,3
5.18,false,231,true,true,-1.0,3
3.55,false,102,true,true,-1.0,2
3.59,true,868,true,true,75.0,4
3.57,true,108054,true,true,88.0,5
7.0,false,71,false,true,-1.0,1
5.34,true,5909,true,true,-1.0,5
6.76,true,2024,true,true,90.0,5
6.09,false,369,false,true,-1.0,2
3.55,false,6345,true,true,-1.0,4
4.2,false,2485,true,true,45.0,4
3.25,true,9449,true,true,-1.0,5
4.0,false,2504,true,true,-1.0,4
4.66,false,567,true,true,-1.0,3
2.9,false,227,true,true,-1.0,3
4.12,false,470,true,true,52.0,3
2.0,true,95,true,true,-1.0,3
5.25,false,37,true,true,-1.0,1
4.64,false,735,true,true,84.0,4
2.09,false,369,false,true,-1.0,3
3.57,false,261,true,false,-1.0,1
4.44,false,337,true,false,0.0,1
3.0,false,438,false,true,-1.0,3
5.09,false,392745,true,true,-1.0,4
3.29,true,1306,true,true,-1.0,5
5.35,false,3820,true,true,-1.0,4
4.32,false,957,true,true,-1.0,3
3.4,false,1630,true,true,-1.0,4
3.38,true,2606,true,true,-1.0,5
3.0,false,76,false,true,-1.0,2
3.73,false,1075,true,false,-1.0,2
3.42,false,806,true,true,-1.0,3
2.64,false,474,true,false,-1.0,2
4.66,true,520,true,false,-1.0,2
5.0,true,1032,true,true,75.0,4
5.7,false,44898,true,true,-1.0,4
2.81,false,124,true,true,-1.0,2
2.39,true,616,true,true,53.0,4
4.77,false,652,true,false,-1.0,1
4.8,false,44,false,true,-1.0,1
6.0,false,315,false,true,-1.0,1
4.63,false,54799,true,true,-1.0,4
7.2,false,604,true,true,-1.0,2
4.6,false,3514,true,true,-1.0,4
3.29,false,3433,false,true,-1.0,3
4.32,false,957,true,true,-1.0,3
4.75,false,109,false,true,-1.0,1
9.8,false,349,true,true,-1.0,2
3.38,false,291,true,true,-1.0,3
3.44,true,836,true,true,99.6,5
3.4,false,261,false,true,-1.0,2
7.0,false,38,true,true,-1.0,1
2.94,false,818,true,true,-1.0,3
2.0,false,114,true,true,-1.0,2
2.22,true,390,true,true,91.0,4
3.58,false,2282,false,true,-1.0,3
2.56,false,365,true,true,-1.0,3
5.28,false,6212,true,true,-1.0,4
2.71,true,454,true,true,82.0,5
7.69,false,356,true,true,-1.0,2
4.17,false,1168,true,false,56.0,2
3.05,false,4342,true,true,-1.0,4
2.75,true,335,true,false,-1.0,2
2.09,false,369,false,true,-1.0,3
4.31,false,1676,true,true,-1.0,4
3.64,false,962,true,true,-1.0,3
5.0,false,46,true,true,-1.0,2
3.17,false,723,false,true,-1.0,3
4.28,false,5830,true,true,-1.0,4
6.8,false,599,true,true,-1.0,3
3.69,true,780,true,true,-1.0,4
3.0,true,6,true,true,-1.0,2
3.75,false,117,false,true,-1.0,2
3.16,true,1328,true,true,-1.0,5
4.86,false,958,false,true,-1.0,3
2.0,false,47,true,true,-1.0,2
2.0,false,118,true,true,-1.0,2
4.0,false,44,false,true,-1.0,1
5.14,false,243,true,true,-1.0,2
3.02,true,948,true,true,-1.0,4
3.42,true,25254,true,true,-1.0,5
3.45,true,9082,true,true,-1.0,5
3.29,false,12640,true,true,-1.0,4
4.53,false,508,false,true,-1.0,2
3.0,true,20929,true,true,-1.0,5
11.41,false,3189,true,false,-1.0,2
2.0,false,41,true,true,-1.0,2
2.0,false,59,false,true,-1.0,1
3.3,true,544,true,true,50.0,4
4.42,false,584,false,true,-1.0,2
3.88,false,445,true,true,-1.0,3
3.3,true,12039,true,false,94.7,3
3.78,false,483,true,true,57.0,3
3.86,false,743,true,true,-1.0,3
3.72,true,1366,true,true,78.0,5
